user|date|srcLoc(lat,long)|destLoc(lat,long)|distInKms
790027c296e8965e6cd76f0207fdaeda4e|120107|69.5991,34.9697|69.1705,34.5358|62.14
790027c296e8965e6cd76f0207fdaeda4e|120108|69.5991,34.9697|69.1705,34.5358|62.14
790027c296e8965e6cd76f0207fdaeda4e|120109|69.5991,34.9697|69.3109,34.9914|26.37
79004cf758e83357c151a1ad3a42ef3a97|120109|69.1464,34.3199|69.0163,34.0081|36.68
7900909fdca751887a62e14319562332b3|120105|69.5184,33.7834|69.232,34.4907|82.95
7900909fdca751887a62e14319562332b3|120106|69.5184,33.7834|69.2124,34.4985|84.36
7900909fdca751887a62e14319562332b3|120109|69.5184,33.7834|69.2745,34.4694|79.51
7900909fdca751887a62e14319562332b3|120110|69.5184,33.7834|69.2334,34.5004|83.93
7900909fdca751887a62e14319562332b3|120111|69.5184,33.7834|69.2745,34.4694|79.51
7900c85de725bced4db5c80bda24c18eeb|120106|69.1701,34.5317|69.049,33.9495|65.69
7900da0c60516935f315fc084052019498|120106|69.1976,34.5017|70.1978,34.2372|96.4
790109078f5a28cb7568abdf9e937f5e59|120105|69.1667,35.0031|69.1173,34.5725|48.09
790109078f5a28cb7568abdf9e937f5e59|120106|69.1667,35.0031|69.1173,34.5725|48.09
790109078f5a28cb7568abdf9e937f5e59|120107|69.1667,35.0031|69.1173,34.5725|48.09
790109078f5a28cb7568abdf9e937f5e59|120110|69.1667,35.0031|69.1836,34.5172|54.05
790109078f5a28cb7568abdf9e937f5e59|120111|69.1667,35.0031|69.1173,34.5725|48.09
7903cfad07a41295d718433ae72aeff4f4|120109|69.3175,34.5153|69.0856,34.5336|21.34
7904aa2936233b41b74dc63c085376327d|120105|69.1881,34.8551|69.0774,34.6215|27.88
7904aa2936233b41b74dc63c085376327d|120106|69.1881,34.8551|69.0774,34.6215|27.88
7904aa2936233b41b74dc63c085376327d|120107|69.1881,34.8551|69.0774,34.6215|27.88
7904aa2936233b41b74dc63c085376327d|120108|69.1881,34.8551|69.0735,34.6704|23.05
7904aa2936233b41b74dc63c085376327d|120109|69.1881,34.8551|69.0774,34.6215|27.88
7904aa2936233b41b74dc63c085376327d|120111|69.1881,34.8551|69.0774,34.6215|27.88
7905416023386a824bb60080fd69d940d8|120105|69.1343,34.5946|69.5991,34.9697|59.51
7905416023386a824bb60080fd69d940d8|120106|69.1343,34.5946|69.5991,34.9697|59.51
7905416023386a824bb60080fd69d940d8|120108|69.1343,34.5946|69.3109,34.9914|46.98
79054da7b5ef5e5efd814dc905813aaaea|120105|68.8054,34.0101|69.3296,34.5098|73.54
79054da7b5ef5e5efd814dc905813aaaea|120106|68.8054,34.0101|69.3296,34.5098|73.54
79054da7b5ef5e5efd814dc905813aaaea|120107|68.8054,34.0101|69.3296,34.5098|73.54
79054da7b5ef5e5efd814dc905813aaaea|120108|68.8054,34.0101|69.3296,34.5098|73.54
79054da7b5ef5e5efd814dc905813aaaea|120110|68.8054,34.0101|69.3175,34.5153|73.28
7905a756ee2d25e4a6af4cae260c2ed8a7|120106|69.1464,34.3199|68.9573,33.8143|58.86
7905a756ee2d25e4a6af4cae260c2ed8a7|120107|69.1464,34.3199|68.9573,33.8143|58.86
7905a756ee2d25e4a6af4cae260c2ed8a7|120108|69.1464,34.3199|68.9573,33.8143|58.86
7905a756ee2d25e4a6af4cae260c2ed8a7|120109|69.1464,34.3199|68.9573,33.8143|58.86
79060b8fd1090f96f02a292036fa4ba8d1|120107|69.2491,34.5416|69.0373,35.3146|88.1
790610df126b1da840bcf076f4a2f669e9|120110|69.2073,34.5051|68.9286,34.5557|26.14
7906fb13d08e5dbacb68c3bfeb01f26fe6|120108|69.237,35.1194|69.1669,34.5358|65.21
7906fb13d08e5dbacb68c3bfeb01f26fe6|120110|69.237,35.1194|69.1669,34.5358|65.21
7907038ef8941df80f05276ff985c800fd|120108|69.1611,34.5679|68.8194,34.1512|55.95
79075c660f2e5868190ed4c15065cb5eab|120107|69.237,35.1194|69.0373,35.3146|28.29
79075c660f2e5868190ed4c15065cb5eab|120109|69.237,35.1194|69.237,34.9346|20.55
79075c660f2e5868190ed4c15065cb5eab|120110|69.237,35.1194|69.237,34.9342|20.59
79075c660f2e5868190ed4c15065cb5eab|120111|69.237,35.1194|69.0373,35.3146|28.29
79089121424fba080406c416188432e0ce|120107|69.0791,34.5252|68.8194,34.1512|47.94
7908fa89000fbdf156616e9df37146fec5|120105|69.237,35.1194|69.1669,34.5358|65.21
7908fa89000fbdf156616e9df37146fec5|120106|69.237,35.1194|69.1669,34.5358|65.21
7908fa89000fbdf156616e9df37146fec5|120107|69.237,35.1194|69.1669,34.5358|65.21
7908fa89000fbdf156616e9df37146fec5|120108|69.237,35.1194|69.0373,35.3146|28.29
7908fa89000fbdf156616e9df37146fec5|120110|69.237,35.1194|69.1669,34.5358|65.21
